Unnamed: 0,userId,movieId,rating,timestamp
0.0,1,1,4.0,964982703
1.0,1,3,4.0,964981247
2.0,1,6,4.0,964982224
5.0,1,70,3.0,964982400
6.0,1,101,5.0,964980868
7.0,1,110,4.0,964982176
8.0,1,151,5.0,964984041
9.0,1,157,5.0,964984100
10.0,1,163,5.0,964983650
11.0,1,216,5.0,964981208
12.0,1,223,3.0,964980985
14.0,1,235,4.0,964980908
15.0,1,260,5.0,964981680
16.0,1,296,3.0,964982967
17.0,1,316,3.0,964982310
18.0,1,333,5.0,964981179
19.0,1,349,4.0,964982563
20.0,1,356,4.0,964980962
23.0,1,423,3.0,964982363
24.0,1,441,4.0,964980868
26.0,1,480,4.0,964982346
27.0,1,500,3.0,964981208
28.0,1,527,5.0,964984002
29.0,1,543,4.0,964981179
31.0,1,553,5.0,964984153
32.0,1,590,4.0,964982546
33.0,1,592,4.0,964982271
35.0,1,596,5.0,964982838
36.0,1,608,5.0,964982931
37.0,1,648,3.0,964982563
38.0,1,661,5.0,964982838
39.0,1,673,3.0,964981775
41.0,1,736,3.0,964982653
43.0,1,804,4.0,964980499
45.0,1,923,5.0,964981529
48.0,1,954,5.0,964983219
49.0,1,1009,3.0,964981775
50.0,1,1023,5.0,964982681
53.0,1,1029,5.0,964982855
54.0,1,1030,3.0,964982903
55.0,1,1031,5.0,964982653
56.0,1,1032,5.0,964982791
57.0,1,1042,4.0,964981179
59.0,1,1060,4.0,964980924
60.0,1,1073,5.0,964981680
62.0,1,1089,5.0,964982951
63.0,1,1090,4.0,964984018
64.0,1,1092,5.0,964983484
65.0,1,1097,5.0,964981680
67.0,1,1136,5.0,964981327
68.0,1,1196,5.0,964981827
72.0,1,1208,4.0,964983250
73.0,1,1210,5.0,964980499
74.0,1,1213,5.0,964982951
75.0,1,1214,4.0,964981855
76.0,1,1219,2.0,964983393
78.0,1,1222,5.0,964981909
79.0,1,1224,5.0,964984018
82.0,1,1256,5.0,964981442
84.0,1,1265,4.0,964983599
85.0,1,1270,5.0,964983705
86.0,1,1275,5.0,964982290
87.0,1,1278,5.0,964983414
88.0,1,1282,5.0,964982703
89.0,1,1291,5.0,964981909
