,userId,movieId,rating,timestamp
0,1,1,4.0,964982703
1,1,3,4.0,964981247
2,1,6,4.0,964982224
5,1,70,3.0,964982400
6,1,101,5.0,964980868
7,1,110,4.0,964982176
8,1,151,5.0,964984041
9,1,157,5.0,964984100
10,1,163,5.0,964983650
11,1,216,5.0,964981208
12,1,223,3.0,964980985
14,1,235,4.0,964980908
15,1,260,5.0,964981680
16,1,296,3.0,964982967
17,1,316,3.0,964982310
18,1,333,5.0,964981179
19,1,349,4.0,964982563
20,1,356,4.0,964980962
23,1,423,3.0,964982363
24,1,441,4.0,964980868
26,1,480,4.0,964982346
27,1,500,3.0,964981208
28,1,527,5.0,964984002
29,1,543,4.0,964981179
31,1,553,5.0,964984153
32,1,590,4.0,964982546
33,1,592,4.0,964982271
35,1,596,5.0,964982838
36,1,608,5.0,964982931
37,1,648,3.0,964982563
38,1,661,5.0,964982838
39,1,673,3.0,964981775
41,1,736,3.0,964982653
43,1,804,4.0,964980499
45,1,923,5.0,964981529
48,1,954,5.0,964983219
49,1,1009,3.0,964981775
50,1,1023,5.0,964982681
53,1,1029,5.0,964982855
54,1,1030,3.0,964982903
55,1,1031,5.0,964982653
56,1,1032,5.0,964982791
57,1,1042,4.0,964981179
59,1,1060,4.0,964980924
60,1,1073,5.0,964981680
62,1,1089,5.0,964982951
63,1,1090,4.0,964984018
64,1,1092,5.0,964983484
65,1,1097,5.0,964981680
67,1,1136,5.0,964981327
68,1,1196,5.0,964981827
72,1,1208,4.0,964983250
73,1,1210,5.0,964980499
74,1,1213,5.0,964982951
75,1,1214,4.0,964981855
76,1,1219,2.0,964983393
78,1,1222,5.0,964981909
79,1,1224,5.0,964984018
82,1,1256,5.0,964981442
84,1,1265,4.0,964983599
85,1,1270,5.0,964983705
86,1,1275,5.0,964982290
87,1,1278,5.0,964983414
88,1,1282,5.0,964982703
89,1,1291,5.0,964981909
90,1,1298,5.0,964984086
92,1,1377,3.0,964982653
93,1,1396,3.0,964983017
95,1,1445,3.0,964984112
96,1,1473,4.0,964980875
97,1,1500,4.0,964980985
98,1,1517,5.0,964981107
99,1,1552,4.0,964982620
100,1,1573,5.0,964982290
102,1,1587,5.0,964982346
103,1,1617,5.0,964982951
104,1,1620,4.0,964983056
106,1,1644,3.0,964983536
107,1,1676,3.0,964982620
112,1,1805,4.0,964983056
113,1,1920,4.0,964981780
114,1,1927,5.0,964981497
115,1,1954,5.0,964982176
116,1,1967,4.0,964981710
117,1,2000,4.0,964982211
119,1,2012,4.0,964984176
120,1,2018,5.0,964980523
121,1,2028,4.0,964981888
123,1,2046,4.0,964982563
125,1,2054,4.0,964981747
129,1,2093,3.0,964981710
131,1,2096,4.0,964982838
132,1,2099,4.0,964982588
134,1,2115,5.0,964982529
136,1,2137,5.0,964982791
139,1,2143,4.0,964981725
141,1,2174,4.0,964981680
142,1,2193,4.0,964981710
143,1,2253,2.0,964981775
145,1,2273,4.0,964982310
146,1,2291,5.0,964983664
147,1,2329,5.0,964983263
148,1,2338,2.0,964983546
149,1,2353,5.0,964983861
150,1,2366,4.0,964982462
151,1,2387,5.0,964983123
152,1,2389,2.0,964983094
153,1,2395,5.0,964981093
154,1,2406,4.0,964982310
155,1,2414,3.0,964982513
157,1,2450,4.0,964982620
159,1,2470,5.0,964982588
161,1,2492,4.0,965719662
162,1,2502,5.0,964981278
163,1,2528,3.0,964982328
164,1,2529,5.0,964982242
167,1,2580,5.0,964983000
168,1,2596,5.0,964981144
169,1,2616,4.0,964983080
171,1,2628,4.0,964980523
172,1,2640,4.0,964982377
173,1,2641,5.0,964982620
174,1,2644,4.0,964983393
175,1,2648,4.0,964983414
182,1,2797,4.0,964981710
184,1,2858,5.0,964980868
185,1,2872,5.0,964981680
186,1,2899,5.0,964982703
187,1,2916,4.0,964982290
189,1,2947,5.0,964982176
190,1,2948,5.0,964982191
191,1,2949,5.0,964981888
